Uuid,Void/Retire,Name,Description,Concept Drug,…,_version:1,_order:201
9062c6d9-a650-44d2-8929-da84f617c427,,1a = AZT/3TC+EFV,,1a = AZT/3TC+EFV,,,
c22e6700-a937-4909-b4ad-e82ff51325ac,,1b = AZT/3TC/NVP,,1b = AZT/3TC/NVP,,,
a00d9620-e88b-4c2f-9293-b1ac9e5943f2,,1c = TDF/3TC/DTG,,1c = TDF/3TC/DTG,,,
5d500ca2-350a-49ee-a3d4-f340db32ff31,,1d=ABC/3TC (600/300)/DTG,,1d = ABC/3TC (600/300) /DTG,,,
3fd242a8-7ade-463c-8919-d82573ea8526,,1e = AZT/3TC +DTG,,1e = AZT/3TC +DTG,,,
91f5d0d6-eb81-484f-9376-4bfb926a5a81,,1f = TDF/3TC+EFV,,1f = TDF/3TC+EFV,,,
0dd3e78f-e1fc-47de-95bc-1f489d0dfcc5,,1g = TDF/3TC+NVP,,1g = TDF/3TC+NVP,,,
4a86fbee-07a9-422a-bf69-16256c0c2b8b,,1h = TDF/FTC/EFV,,1h = TDF/FTC/EFV,,,
03224cae-f115-4814-bd53-c99c72288446,,1J = TDF/FTC+NVP,,1J = TDF/FTC+NVP,,,
bd97cacd-4a91-4901-8803-3a4a2e5f1ca8,,2a=AZT/3TC+DTG,,2a=AZT/3TC+DTG,,,
ad6ff4ef-769e-4aec-b8bb-7f033fe6aaaa,,2b=ABC/3TC+DTG,,2b=ABC/3TC+DTG,,,
47167ec1-4957-4d0a-a58c-3894bdeb93ff,,2c=TDF+3TC+LPV/r,,2c=TDF+3TC+LPV/r,,,
e649a0ec-e193-4af0-bb49-02687107a893,,2d=TDF/3TC+ATV/r,,2d=TDF/3TC+ATV/r,,,
accca537-b8ee-41ec-b902-7de814d099b2,,2e=TDF/FTC-LPV/r,,2e=TDF/FTC-LPV/r,,,
77f201fc-aefc-4068-baa7-cb3284782a38,,2f=TDF/FTC-ATV/r,,2f=TDF/FTC-ATV/r,,,
cb0f9fcd-fb52-493f-95aa-d0197387fbdb,,2g=AZT/3TC+LPV/r,,2g=AZT/3TC+LPV/r,,,
28790bde-81db-4490-806b-ac10c17b41dc,,2h=AZT/3TC+ATV/r,,2h=AZT/3TC+ATV/r,,,
aae69cae-2806-4e8b-a916-f22ed733a19b,,2i=ABC/3TC+LPV/r,,2i=ABC/3TC+LPV/r,,,
64336206-c9bc-4d37-accf-c7abac7a37f6,,2j=ABC/3TC+ATV/r,,2j=ABC/3TC+ATV/r,,,
25f0cca5-902d-4e36-9e4f-5ce5da744a75,,2k=TDF/3TC/DTG,,2k=TDF/3TC/DTG,,,
c224b116-27ec-4156-93ba-d4838a3ac1c0,,4a = AZT/3TC+NVP,,4a = AZT/3TC+NVP,,,
5efe8d99-c65e-4136-8820-5f3646437ff7,,4b = AZT/3TC +EFV,,4b = AZT/3TC +EFV,,,
f8f64be8-ccb4-404d-b99e-3c4975155da5,,4c = TDF/3TC (120/60) + LPV/r,,4c = TDF/3TC (120/60) + LPV/r,,,
28c5d192-ba71-4ef5-8604-ecf6bd177126,,4d = ABC/3TC (120/60) +DTG,,4d = ABC/3TC (120/60) +DTG,,,
0372f3fb-5e8a-474f-8250-01af7a485778,,4f = ABC/3TC +NVP,,4f = ABC/3TC +NVP,,,
ce2412c4-a041-4328-bfaa-35e041ca4802,,4g = TDF/3TC (120/60) + EFV (200mg),,4g = TDF/3TC (120/60) + EFV (200mg),,,
6ed47806-8809-4c5a-a1b6-fe2ec0158563,,4h = TDF/FTC/EFV,,4h = TDF/FTC/EFV,,,
f6b1c6ea-b0a2-46a0-b7e0-3038d268356c,,4i = ABC/3TC +LPV/r,,4i = ABC/3TC +LPV/r,,,
2e1ab9d3-7fe1-48ba-a12c-fd8d26bc161d,,4J = AZT/3TC (60/30)+LPV/r,,4J = AZT/3TC (60/30)+LPV/r,,,
99f54f96-e761-4d86-bb1b-0abc2a24fa16,,4k = TDF/3TC+NVP,,4k = TDF/3TC+NVP,,,
5287f2a4-23e5-4314-b60c-0a4b91753ec6,,4i = ABC/3TC +AZT,,4i = ABC/3TC +AZT,,,
b23cf614-dfec-48c9-a12f-ba577e28347d,,5a = AZT/3TC+LPV/r,,5a = AZT/3TC+LPV/r,,,
dabc93c3-8c3d-41e1-b3e3-d7e14c4765b6,,5b = AZT/3TC +RAL,,5b = AZT/3TC +RAL,,,
da3c6710-c431-4582-a444-a466d54693ec,,5c = ABC/3TC (120/60) + RAL,,5c = ABC/3TC (120/60) + RAL,,,
6c383d11-2b29-4cc2-bfa4-811ff7a988f1,,5d = AZT/3TC +ATV/r,,5d = AZT/3TC +ATV/r,,,
82725d14-00c6-4864-bf8b-ad5db0b3c3fa,,5e = ABC/3TC + ATV/r,,5e = ABC/3TC + ATV/r,,,
140ede93-5691-463b-9d17-2dc8834621f8,,5f = TDF/3TC + ATV/r,,5f = TDF/3TC + ATV/r,,,
06017ac1-2ce8-4689-a3bf-4e9f3d54978f,,5g = AZT/3TC +DTG,,5g = AZT/3TC +DTG,,,
2c0a5b91-7b2a-4f8e-86fd-a8007841fca8,,5h = ABC/3TC + DTG*,,5h = ABC/3TC + DTG*,,,
50b60d77-186d-4a0d-8784-659ee2d60ec9,,5i = ABC/3TC +LPV/r,,5i = ABC/3TC +LPV/r,,,
